Type,Name,Material Impacts,Disposal Impacts,EoL potential,Lifecycle Impacts,Cost,RoHS,Food,Recycle,Density
Ceramics & Glasses,Concrete,227,100,-68.3,258.7,117,1,0,1,2400
Ceramics & Glasses,Glass,1870,104,-274,1700,3770,1,1,1,2600
Ceramics & Glasses,Silicon nitride,22000,38.3,0,22038.3,1390000,1,1,0,3170
Composites,Unsaturated polyester composite(UP),12500,61.8,2630,15191.8,8660,1,0,0,1000
Elastomers/rubbers,Natural rubber(NR),1970,28.5,3070,5068.5,3700,1,1,0,930
Elastomers/rubbers,Silicone rubber(SI),8850,33.5,1490,10373.5,14700,1,1,0,1100
Ferrous metals,"Cast iron, Ductile",13700,304,-9090,4914,6630,1,0,1,7300
Ferrous metals,"Cast iron, Gray",13200,302,-8720,4782,4670,1,0,1,7200
Ferrous metals,"Cast iron, Malleable",13300,307,-8870,4737,4590,1,0,1,7874
Ferrous metals,"Stainless steel, Austenitic",43200,332,-31400,12132,39900,1,1,1,8000
Ferrous metals,"Stainless steel, Martensitic",34900,328,-24800,10428,12600,1,0,1,6500
Ferrous metals,"Steel, Galvanized",14700,330,-10100,4930,5610,1,0,1,7850
Ferrous metals,"Steel, High strength low alloy (HSLA)",15300,330,-10500,5130,4860,1,0,1,8050
Ferrous metals,"Steel, low alloy",15300,330,-10400,5230,4630,1,0,1,7870
Ferrous metals,"Steel, low carbon",14200,330,-9680,4850,4860,1,0,1,7850
Ferrous metals,"Steel, low carbon (heat treated)",14200,330,-9690,4840,4860,1,0,1,7850
Non-ferrous metals,"Aluminum alloy, Wrought",34700,114,-27200,7614,8330,1,1,1,2710
Non-ferrous metals,"Brass, Wrought",30200,356,-21600,8956,65400,1,0,1,8553
Non-ferrous metals,"Bronze, Cast",41000,370,-29600,11770,107000,1,0,1,8553
Non-ferrous metals,"Copper, Cast",33200,376,-23600,9976,90400,1,0,1,8960
Non-ferrous metals,"Copper, Wrought",33200,376,-23600,9976,90500,1,0,1,8960
Non-ferrous metals,Copper-aluminum alloy,36400,332,-26400,10332,75100,1,0,1,7450
Non-ferrous metals,Gold,283000000,811,-272000000,11000811,1010000000,1,1,1,19320
Non-ferrous metals,Lead,21800,477,-15200,7077,31000,0,0,1,11340
Non-ferrous metals,Nickel-copper alloy,78800,371,-61300,17871,253000,1,0,1,8900
Non-ferrous metals,Silver,1050000,440,-921000,129440,12800000,1,1,1,10500
Non-ferrous metals,Titanium,177000,189,-150000,27189,63600,1,1,1,4500
Plastics,ABS plastic,4000,43.9,-203,3840.9,3360,1,1,1,1060
Plastics,Acetal resin(POM),6380,42,-755,5667,3390,1,1,1,1420
Plastics,Acrylic(PMMA),8050,35.5,-1290,6795.5,3420,1,1,1,1190
Plastics,LCP plastic,23900,42.3,-5800,18142.3,40800,1,1,1,1760
Plastics,Nylon 6(PA6),9090,34.2,-1590,7534.2,4580,1,1,1,1145
Plastics,Nylon 6/6(PA66),10000,34.2,-1870,8164.2,4500,1,1,1,1140
Plastics,PBT plastic,6570,40.2,-704,5906.2,3780,1,1,1,1310
Plastics,PC/ABS plastic,11200,33.3,-2170,9063.3,5320,1,1,1,1100
Plastics,PE-UHMW plastic,4200,39.5,-544,3695.5,2610,1,1,1,945
Plastics,PEEK plastic,30300,39.3,-7770,22569.3,136000,1,1,1,1320
Plastics,PET plastic,5290,56.2,-1210,4136.2,3190,1,1,1,1380
Plastics,Phenlic resin(PF),3870,42,2940,6852,3730,1,0,0,1280
Plastics,Polycarbonate(PC),7240,36,-971,6305,5710,1,1,1,1200
Plastics,"Polyethlene, High density (PE-HD)",2660,40.3,1070,3770.3,1820,1,1,1,970
Plastics,"Polyethlene, Low density (PE-LD)",3200,38.8,397,3635.8,2090,1,1,1,910
Plastics,Polypropylene (PP),2810,37.9,703,3550.9,2080,1,1,1,900
Plastics,Polystyene (PS),3410,43.9,485,3938.9,2290,1,1,1,1000
Plastics,"Polystyene, High ipact (PS-HI)",3970,43.9,-57.3,3956.6,3810,1,1,1,1000
Plastics,PPS plastic,20200,40.5,-4740,15500.5,21400,1,1,1,1440
Plastics,"PVC-U (unplasticized, rigid)",3470,41.8,140,3651.8,1930,1,1,1,1400
Plastics,SAN plastic,3420,32.1,135,3587.1,2820,1,1,1,1080
Woods,Hardwood: Birch,607,20.6,-4.12,623.48,663,1,1,1,670
Woods,Hardwood: Cherry,537,18.2,-3.64,551.56,5260,1,1,1,630
Woods,Hardwood: Maple,471,16,-3.19,483.81,892,1,1,1,700
Woods,Hardwood: Oak,827,28.1,-5.61,849.49,850,1,1,1,740
Woods,Hardwood: Walnut,541,18.3,-3.67,555.63,556,1,1,1,550
Bio-plastics,Bio-PA,4811.4,0,0,4811.4,2000,1,1,1,1188
Bio-plastics,Bio-PBS,4573.8,0,0,4573.8,2000,1,1,1,1188
Bio-plastics,Bio-PE,2197.8,0,0,2197.8,2000,1,1,1,1188
Bio-plastics,Bio-PET,2554.2,0,0,2554.2,2000,1,1,1,1188
Bio-plastics,Bio-PP,-297,0,0,-297,2000,1,1,1,1188
Bio-plastics,Bio-PTT,2197.8,0,0,2197.8,2000,1,1,1,1188
Bio-plastics,Bio-PVC,-168.102,0,0,-168.102,2000,1,1,1,1188
Bio-plastics,PHA/PHB,2197.8,0,0,2197.8,2000,1,1,1,1188
Bio-plastics,PLA,-712.8,0,0,-712.8,2000,1,1,1,1188
Bio-plastics,Strach plastic,2257.2,0,0,2257.2,2000,1,1,1,1188
