Type1,Type2,Name,Total Material eco-costs(euro),Total Processing eco-costs(euro),Total EoL eco-costs(euro),Total LifeCycle eco-costs(euro),eco-costs of human health(euro)(LifeCycle),eco-costs of exo-tocicity(euro )(LifeCycle),eco-costs of resource depletion(euro)(LifeCycle),eco-costs of carbon footprint (euro)(LifeCycle),Carbon footprint(kg CO2 equiv.)(LifeCycle),ReCiPe human health(DALY)(LifeCycle),ReCiPe ecotoxixity(species.year)(LifeCycle),ReCiPe resources (USD2013)(LifeCycle)
agricultural,animal production,"Wool (at farm US, transported to rotterdam)",6.56,,0.116,6.67,0.04,3.80,0.31,2.53,21.79,0.00,0.00,0.476687825
agricultural,plant production,"bio-Cotton, China",2.39,,0.116,2.51,-0.01,0.15,1.95,0.42,3.59,0.00,0.00,0.151578603
agricultural,plant production,"bio-Cotton, USA",2.58,,0.116,2.69,-0.01,0.15,1.78,0.77,6.62,0.00,0.00,0.556148821
agricultural,plant production,"Cotton, China",2.96,,0.116,3.07,0.00,0.27,1.99,0.81,7.02,0.00,0.00,0.587620733
agricultural,plant production,"Cotton, market mix",5.60,,0.116,5.72,0.00,0.26,4.59,0.87,7.47,0.00,0.00,0.650739743
agricultural,plant production,"Cotton, rest of the world",8.02,,0.116,8.14,0.00,0.27,7.05,0.87,7.02,0.00,0.00,0.587620733
agricultural,plant production,"Cotton, USA",3.03,,0.116,3.14,0.00,0.25,1.81,1.08,9.30,0.00,0.00,0.903215803
agricultural,plant production,"Jute fibres, Bangladesh",0.73,,0.116,0.85,0.00,0.01,0.73,0.11,0.96,0.00,0.00,0.032634291
agricultural,plant production,"Jute fibres, Bangladesh, rainfed",0.22,,0.116,0.34,0.00,0.01,0.22,0.11,0.96,0.00,0.00,0.032634291
agricultural,plant production,"Jute fibres, India",0.84,,0.116,0.95,0.00,0.01,0.83,0.11,0.96,0.00,0.00,0.032634291
agricultural,plant production,"Jute fibres, India, rainfed",0.24,,0.116,0.35,0.00,0.01,0.23,0.11,0.96,0.00,0.00,0.032634291
agricultural,plant production,"Jute fibres, market mix",0.35,,0.116,0.46,0.00,0.01,0.34,0.11,0.96,0.00,0.00,0.032634291
agricultural,plant production,"Kenaf fibres, India",0.43,,0.116,0.55,0.00,0.01,0.49,0.04,0.38,0.00,0.00,0.04158674
agricultural,plant production,"Kenaf fibres, Italy",0.33,,0.116,0.44,0.00,0.01,0.39,0.04,0.38,0.00,0.00,0.04158674
agricultural,plant production,Linseed,0.23,,0.116,0.35,0.00,0.01,0.30,0.03,0.28,0.00,0.00,0.123230806
ceramics ,others,Alumina estimate,0.97,,0.116,1.09,0.02,0.18,0.45,0.45,3.84,0.02,0.00,0.269144884
ceramics ,others,Aluminium Nitride,1.21,,0.116,1.33,0.02,0.22,0.53,0.56,4.79,0.03,0.00,0.335286345
ceramics ,others,Boron Carbide,1.53,,0.116,1.65,0.02,0.14,0.12,1.37,11.83,0.00,0.00,1.519793837
ceramics ,others,Germanium,885.62,,0.116,885.73,0.56,5.75,870.50,8.92,76.90,0.00,0.00,82.5720028
ceramics ,others,Glaze (in addition to Porcelain and Stoneware),1.89,,0.116,2.01,1.89,0.00,0.12,0.00,0.00,0.00,0.00,0
ceramics ,others,Porcelain,0.06,,0.116,0.17,0.00,0.01,0.12,0.04,0.34,0.00,0.00,0.051222927
ceramics ,others,PZT Piezo-electric ceramic,63.38,,0.116,63.49,0.20,23.14,14.29,25.87,223.01,0.00,0.00,19.4874141
ceramics ,others,Silicon Carbide estimate,1.44,,0.116,1.55,0.01,0.07,0.84,0.64,5.53,0.00,0.00,0.784378004
ceramics ,others,Silicon estimate,1.69,,0.116,1.81,0.01,0.06,1.15,0.59,5.13,0.00,0.00,0.757891983
ceramics ,others,Silicon Nitride estimate,1.84,,0.116,1.95,0.01,0.11,0.80,1.04,8.96,0.00,0.00,1.21698498
ceramics ,others,Stoneware,0.05,,0.116,0.17,0.00,0.01,0.12,0.04,0.33,0.00,0.00,0.049425755
ceramics ,others,Tungsten Carbide,29.46,,0.116,29.58,0.03,0.19,28.67,0.69,5.93,0.05,0.00,1.97878377
ceramics ,others,Zirconia,1.28,,0.116,1.40,0.01,0.08,0.55,0.76,6.57,0.00,0.00,0.844854336
construction,binders ,Cement (CORUS),0.04,,0.116,0.16,0.00,0.01,0.12,0.03,0.25,0.00,0.00,0.02595563
construction,binders ,Cement (Portland)*,0.14,,0.116,0.25,0.00,0.02,0.12,0.11,0.91,0.00,0.00,0.021109864
construction,binders ,"Gypsum, from exhaust gas desulferization",0.00,,0.116,0.12,0.00,0.00,0.12,0.00,0.01,0.00,0.00,0.001494691
construction,bitumen,Bitumen,0.95,,0.116,1.07,0.01,0.08,0.92,0.06,0.55,0.00,0.00,0.517516994
construction,bricks," Red Clay Brick, for housing and roads, packed",0.04,,0.116,0.16,0.00,0.01,0.12,0.03,0.28,0.00,0.00,0.03791591
construction,bricks,"Concrete blocks, light (439 kg/m3)",0.04,,0.116,0.15,0.00,0.01,0.12,0.03,0.22,0.00,0.00,0.030491394
construction,bricks,Roof tiles,0.05,,0.116,0.16,0.00,0.00,0.12,0.04,0.36,0.00,0.00,0
construction,bricks,"Sand-lime bricks, light (600 kg/m3)",0.02,,0.116,0.13,0.00,0.00,0.12,0.02,0.13,0.00,0.00,0.018234632
construction,paints,Crushed concrete aggregate,0.0028,,0.116,0.12,0.00,0.00,0.12,0.00,0.01,0.00,0.00,0.001057803
construction,insulation,cork slab insulation,0.28,,0.116,0.39,0.00,0.04,0.23,0.13,1.10,0.01,0.00,0.126930791
construction,insulation,glass wool*,0.54,,0.116,0.66,0.01,0.14,0.15,0.35,3.00,0.00,0.00,0.247331701
construction,insulation,stone wool*,0.29,,0.116,0.41,0.00,0.09,0.16,0.15,1.31,0.00,0.00,0.090265768
construction,others,Clinker,0.04,,0.116,0.16,0.00,0.00,0.12,0.04,0.31,0.00,0.00,0.036288613
construction,others,CORUS slags,0.0011,,0.116,0.12,0.00,0.00,0.12,0.00,0.01,0.00,0.00,0.000191323
construction,others,Gravel,0.00,,0.116,0.12,0.00,0.00,0.12,0.00,0.01,0.00,0.00,0.000761437
