Type1,Type2,Name,Material Carbon Footprint(kg CO2 eq.),Processing Carbon Footprint(kg CO2 eq.),EoL Carbon Footprint(kg CO2 eq.),Life Cycle Carbon Footprint(kg CO2 eq.),Total LifeCycle CED(MJ),LifeCycle ReCiPe Human Health(DALY),LifeCycle ReCiPe Ecotoxixity(species.year),LifeCycle ReCiPe Resources Depletion($),LifeCycle ReCiPe Endpoints,Recycle
agricultural,animal production,"Wool (at farm US, transported to rotterdam)",21.78530948,0,0,21.78530948,52.314198,8.01E-05,5.68E-07,0.476687825,0.476768521,0
agricultural,plant production,"bio-Cotton, China",3.594377414,0,0,3.594377414,11.019053,0.001000709,6.06E-06,0.151578603,0.152585375,0
agricultural,plant production,"bio-Cotton, USA",6.618563966,0,0,6.618563966,54.427403,0.00123561,7.48E-06,0.556148821,0.557391913,0
agricultural,plant production,"Cotton, China",7.015336983,0,0,7.015336983,62.606574,0.002761292,1.67E-05,0.587620733,0.590398775,0
agricultural,plant production,"Cotton, market mix",7.471310345,0,0,7.471310345,68.920357,0.002769484,1.68E-05,0.650739743,0.653526026,0
agricultural,plant production,"Cotton, rest of the world",7.015336983,0,0,7.015336983,62.606574,0.002776869,1.68E-05,0.587620733,0.590414446,0
agricultural,plant production,"Cotton, USA",9.295203448,0,0,9.295203448,94.175487,0.002761755,1.67E-05,0.903215803,0.905994306,0
agricultural,plant production,"Jute fibres, Bangladesh",0.960258621,0,0,0.960258621,3.6587827,8.23E-05,4.97E-07,0.032634291,0.032717083,0
agricultural,plant production,"Jute fibres, Bangladesh, rainfed",0.960258621,0,0,0.960258621,3.6587827,8.10E-05,4.89E-07,0.032634291,0.032715743,0
agricultural,plant production,"Jute fibres, India",0.960258621,0,0,0.960258621,3.6587827,8.23E-05,4.97E-07,0.032634291,0.032717083,0
agricultural,plant production,"Jute fibres, India, rainfed",0.960258621,0,0,0.960258621,3.6587827,8.10E-05,4.89E-07,0.032634291,0.032715743,0
agricultural,plant production,"Jute fibres, market mix",0.960258621,0,0,0.960258621,3.6587827,8.12E-05,4.90E-07,0.032634291,0.032716014,0
agricultural,plant production,"Kenaf fibres, India",0.384287121,0,0,0.384287121,5.5709953,0.000963106,5.86E-06,0.04158674,0.0425557,0
agricultural,plant production,"Kenaf fibres, Italy",0.384287121,0,0,0.384287121,5.5709953,0.000963106,5.86E-06,0.04158674,0.0425557,0
agricultural,plant production,Linseed,0.281296552,0,0,0.281296552,13.313551,0.000172025,1.05E-06,0.123230806,0.123403877,0
ceramics ,other ceramics ,Alumina estimate,3.84467681,0,0,3.84467681,54.674946,0.023222942,0.000141198,0.269144884,0.292509024,0
ceramics ,other ceramics ,Aluminium Nitride,4.789493362,0,0,4.789493362,68.111133,0.028929903,0.000175896,0.335286345,0.364392145,0
ceramics ,other ceramics ,Boron Carbide,11.82640603,0,0,11.82640603,194.13442,1.35E-05,3.61E-08,1.519793837,1.51980737,0
ceramics ,other ceramics ,Germanium,76.89955776,0,0,76.89955776,937.26921,0.000194133,3.51E-07,82.5720028,82.57219728,0
ceramics ,other ceramics ,Glaze (in addition to Porcelain and Stoneware),0,0,0,0,0,2.99E-08,6.61E-09,0,3.65E-08,0
ceramics ,other ceramics ,Porcelain,0.341285741,0,0,0.341285741,6.3175935,4.39E-06,2.49E-08,0.051222927,0.051227346,0
ceramics ,other ceramics ,PZT Piezo-electric ceramic,223.0082586,0,0,223.0082586,3210.6899,0.000683911,1.41E-06,19.4874141,19.48809943,0
